car_name,brand,city,year,mileage_km,fuel_type,transmission,owner_type,engine_cc,power_bhp,seats,kmpl,price_lakh,price_inr,price_raw,mileage_raw,year_raw,price_vs_avg,deal_tag,rating,fuel_enc,transmission_enc,owner_enc,city_enc,brand_enc,name_enc
Maruti Wagon R LXI CNG,Maruti,Mumbai,2010,72000,CNG,Manual,First,998,58.16,5,26.6,1.75,175000.0,175000.0,72000,2010,0.3776969095674579,Good Deal,5.0,0,1,0,9,17,1159
Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,2015,41000,Diesel,Manual,First,1582,126.2,5,19.67,12.5,1250000.0,1250000.0,41000,2015,2.3118506013783637,Overpriced,4.8,1,1,0,10,9,494
Honda Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,1199,88.7,5,18.2,4.5,450000.0,450000.0,46000,2011,0.8223603248830913,Good Deal,4.9,3,1,0,2,8,469
Maruti Ertiga VDI,Maruti,Chennai,2012,87000,Diesel,Manual,First,1248,88.76,7,20.77,6.0,600000.0,600000.0,87000,2012,1.294960832802713,Overpriced,4.9,1,1,0,2,17,1025
Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,1968,140.8,5,15.2,17.74,1773999.9999999998,1773999.9999999998,40670,2013,0.6937875484697699,Good Deal,4.8,1,0,2,3,0,21
Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,2012,75000,LPG,Manual,First,814,55.2,5,21.1,2.35,235000.0,235000.0,75000,2012,0.43462791305913245,Good Deal,5.0,2,1,0,5,9,512
Nissan Micra Diesel XV,Nissan,Jaipur,2013,86999,Diesel,Manual,First,1461,63.1,5,23.08,3.5,350000.0,350000.0,86999,2013,0.7386534938194299,Good Deal,5.0,1,1,0,6,21,1327
Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,2755,171.5,8,11.36,17.5,1750000.0,1750000.0,36000,2016,1.4888447749696305,Overpriced,4.8,1,0,0,9,27,1722
Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,2013,64430,Diesel,Manual,First,1598,103.6,5,20.54,5.2,520000.0,520000.0,64430,2013,0.9801367437225748,Fair Price,5.0,1,1,0,10,28,1786
Tata Indica Vista Quadrajet LS,Tata,Chennai,2012,65932,Diesel,Manual,Second,1248,74.0,5,22.3,1.95,195000.0,195000.0,65932,2012,0.540763752083649,Good Deal,4.5,1,1,2,2,26,1528
Maruti Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,1462,103.25,5,21.56,9.95,994999.9999999999,994999.9999999999,25692,2018,2.147476714397832,Overpriced,4.9,3,1,0,7,17,1004
Honda City 1.5 V AT Sunroof,Honda,Kolkata,2012,60000,Petrol,Automatic,First,1497,116.3,5,16.8,4.49,449000.0,449000.0,60000,2012,0.8205328574944621,Good Deal,5.0,3,0,0,8,8,405
Maruti Swift VDI BSIV,Maruti,Jaipur,2015,64424,Diesel,Manual,First,1248,74.0,5,25.2,5.6,560000.0,560000.0,64424,2015,1.2086301106158652,Overpriced,4.8,1,1,0,6,17,1120
Land Rover Range Rover 2.2L Pure,Land,Delhi,2014,72000,Diesel,Automatic,First,2179,187.7,5,12.7,27.0,2700000.0,2700000.0,72000,2014,0.7158819741676452,Good Deal,4.9,1,0,0,4,15,788
Land Rover Freelander 2 TD4 SE,Land,Pune,2012,85000,Diesel,Automatic,Second,2179,115.0,5,0.0,17.5,1750000.0,1750000.0,85000,2012,0.46399757584939966,Good Deal,4.8,1,0,2,10,15,785
Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,2477,175.56,7,13.5,15.0,1500000.0,1500000.0,110000,2014,1.236518513429965,Overpriced,4.5,1,1,0,4,20,1318
Honda Amaze S i-Dtech,Honda,Kochi,2016,58950,Diesel,Manual,First,1498,98.6,5,25.8,5.4,540000.0,540000.0,58950,2016,0.9868323898597096,Fair Price,4.9,1,1,0,7,8,354
Maruti Swift DDiS VDI,Maruti,Jaipur,2017,25000,Diesel,Manual,First,1248,74.0,5,28.4,5.99,599000.0,599000.0,25000,2017,1.2928025647480417,Overpriced,5.0,1,1,0,6,17,1084
Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,2014,77469,Diesel,Manual,First,1461,83.8,5,20.45,6.34,634000.0,634000.0,77469,2014,1.0932854458530552,Fair Price,5.0,1,1,0,7,23,1394
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,MercedesBenz,Bangalore,2014,78500,Diesel,Automatic,First,2143,167.62,5,14.84,28.0,2800000.0,2800000.0,78500,2014,1.0313573104686768,Fair Price,4.8,1,0,0,1,18,1271
