brand,model,year,price,mileage,fuel_type,transmission,engine_size,car_type,seats,rating,city,source,kmpl,ev_battery_kwh,ev_range_km,ev_efficiency_kwh_per_km,price_raw,deal_tag
7,6,0.0,0.007469598890251047,157196,4,1,0.35714285714285715,3,0.0,0.7000000000000002,1,0,0.643312101910828,0.0,0.0,0.0,186048,Overpriced
3,45,0.5,0.20730984902191543,32082,4,1,0.5357142857142857,3,0.25,0.7000000000000002,3,0,0.5222929936305732,0.0,0.0,0.0,1098246,Overpriced
8,26,0.25,0.04760160503488119,103878,4,0,0.35714285714285715,3,0.25,0.7000000000000002,6,0,0.6624203821656052,0.0,0.0,0.0,369236,Overpriced
2,10,0.25,0.18518431699701793,89118,4,1,0.5357142857142857,3,0.25,0.7999999999999998,3,0,0.5191082802547771,0.0,0.0,0.0,997251,Overpriced
1,20,0.08333333333334281,0.01081707281807355,104615,1,0,0.5357142857142857,3,0.25,0.8999999999999999,6,0,0.7133757961783439,0.0,0.0,0.0,201328,Good Deal
0,0,0.9166666666666572,0.1625658650547382,6139,1,0,0.35714285714285715,3,0.0,0.8500000000000001,2,0,0.7038216560509555,0.0,0.0,0.0,894006,Overpriced
3,23,0.3333333333333428,0.0618599161028393,99429,1,1,0.42857142857142855,3,0.25,0.19999999999999996,6,0,0.7006369426751592,0.0,0.0,0.0,434320,Good Deal
7,6,0.75,0.13111209743778035,35806,1,1,0.42857142857142855,3,0.0,0.3999999999999999,3,0,0.6624203821656052,0.0,0.0,0.0,750431,Good Deal
8,27,0.8333333333333428,0.06749519567387191,20626,1,0,0.35714285714285715,0,0.0,0.050000000000000044,1,0,0.697452229299363,0.0,0.0,0.0,460043,Good Deal
10,21,0.8333333333333428,0.9192860065950494,26358,1,1,1.0,2,0.75,0.75,4,0,0.445859872611465,0.0,0.0,0.0,4348158,Overpriced
0,0,0.4166666666666572,0.07430581540346262,63746,1,1,0.35714285714285715,3,0.0,0.8500000000000001,5,0,0.6815286624203821,0.0,0.0,0.0,491131,Good Deal
7,6,1.0,0.18889129385125122,6916,4,1,0.7142857142857143,3,0.0,0.25,1,0,0.4171974522292993,0.0,0.0,0.0,1014172,Good Deal
6,5,0.9166666666666572,0.18038700128553514,6876,1,0,0.5357142857142857,3,0.25,0.3500000000000001,6,0,0.7229299363057324,0.0,0.0,0.0,975353,Good Deal
