brand,model,year,price,mileage,fuel_type,transmission,engine_size,car_type,seats,rating,city,source
Mercedes,C-Class,2012,186048,157196,Petrol,Manual,1.0,Sedan,4,4.4,Bhavnagar,gujarat
Hyundai,Verna,2018,1098246,32082,Petrol,Manual,1.5,Sedan,5,4.4,Jamnagar,gujarat
Renault,Kiger,2015,369236,103878,Petrol,Automatic,1.0,Sedan,5,4.4,Vadodara,gujarat
Honda,City,2015,997251,89118,Petrol,Manual,1.5,Sedan,5,4.6,Jamnagar,gujarat
Ford,Figo,2013,201328,104615,Diesel,Automatic,1.5,Sedan,5,4.8,Vadodara,gujarat
BMW,3 Series,2023,894006,6139,Diesel,Automatic,1.0,Sedan,4,4.7,Gandhinagar,gujarat
Hyundai,Grand i10,2016,434320,99429,Diesel,Manual,1.2,Sedan,5,3.4,Vadodara,gujarat
Mercedes,C-Class,2021,750431,35806,Diesel,Manual,1.2,Sedan,4,3.8,Jamnagar,gujarat
Renault,Kwid,2022,460043,20626,Diesel,Automatic,1.0,Hatchback,4,3.1,Bhavnagar,gujarat
Toyota,Fortuner,2022,4348158,26358,Diesel,Manual,2.8,SUV,7,4.5,Rajkot,gujarat
BMW,3 Series,2017,491131,63746,Diesel,Manual,1.0,Sedan,4,4.7,Surat,gujarat
Mercedes,C-Class,2024,1014172,6916,Petrol,Manual,2.0,Sedan,4,3.5,Bhavnagar,gujarat
Maruti Suzuki,Brezza,2023,975353,6876,Diesel,Automatic,1.5,Sedan,5,3.7,Vadodara,gujarat
Kia,Sonet,2019,1044646,25212,Diesel,Manual,1.0,Sedan,5,4.7,Vadodara,gujarat
Mercedes,C-Class,2014,351943,99009,Petrol,Automatic,1.5,Sedan,4,4.8,Bhavnagar,gujarat
Toyota,Urban Cruiser,2021,1110576,18665,Diesel,Automatic,1.5,Sedan,5,3.1,Bhavnagar,gujarat
Hyundai,i20,2023,1198774,12962,Diesel,Manual,1.2,Hatchback,5,3.5,Gandhinagar,gujarat
BMW,3 Series,2015,367994,115686,Diesel,Manual,1.2,Sedan,4,3.8,Jamnagar,gujarat
Mercedes,C-Class,2019,641177,58919,Petrol,Manual,1.2,Sedan,4,3.0,Bhavnagar,gujarat
Mahindra,XUV300,2015,717305,45942,Diesel,Manual,1.0,Sedan,5,4.8,Gandhinagar,gujarat
Toyota,Innova Crysta,2020,2501474,35597,Diesel,Manual,2.4,MPV,7,3.5,Rajkot,gujarat
Kia,Sonet,2013,651374,67704,Petrol,Manual,1.0,Sedan,5,4.3,Jamnagar,gujarat
Hyundai,i20,2018,1219741,77724,Diesel,Manual,1.2,Hatchback,5,3.3,Surat,gujarat
Honda,Amaze,2015,1038528,54880,Petrol,Manual,1.2,Sedan,5,4.9,Gandhinagar,gujarat
Mahindra,Thar,2023,1524130,12956,Diesel,Automatic,2.0,SUV,5,5.0,Vadodara,gujarat
Ford,Endeavour,2018,2594748,75651,Diesel,Manual,2.0,SUV,5,3.4,Surat,gujarat
